graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,beta_3,gamma_1,gamma_2,gamma_3
58.0,7.0,4.499999999999999,6.587346025821348,0.6869764008655994,3.0,-0.14109190527586596,-0.0855827937680198,-0.056940657524384326,-0.1362087690571989,-0.24892251962947465,-0.27566940967574133
59.0,8.0,4.499999999999999,7.246825140551845,0.6120174327508351,3.0,-0.15169725592867891,-0.11719232997617572,-0.07602260251795831,-0.14289020983653236,-0.2604685190493044,-0.2442404116611654
60.0,8.0,4.999999999999999,7.139564259420143,0.34113038039555343,3.0,-0.1303849661449748,-0.08150295284375626,-0.05857445023291566,-0.12115893648042969,-0.27074721488063896,-0.3007632432791816
61.0,6.0,3.4999999999999996,5.853641715501696,0.8899977442688346,3.0,-0.17969234990256058,-0.11660087951439409,-0.052903640132444266,-0.1646424775129807,-0.32344695434033494,-0.3818269522883071
62.0,7.0,3.9999999999999996,6.440605395031338,0.5724921422422634,3.0,-0.166420476775475,-0.10991844898708868,-0.06299694697593115,-0.1505378614027961,-0.26701192921322997,-0.28815339371551896
63.0,7.0,3.9999999999999996,6.59679112233946,0.661110659242315,3.0,-0.17683877783114804,-0.11881391250273467,-0.05753556050960806,-0.1428642745368361,-0.2619166440986938,-0.29677040189948833
64.0,7.0,4.499999999999999,6.811963353370572,0.8635907444623998,3.0,-0.15491666497146792,-0.09561701366756595,-0.053847895553775296,-0.12415851490961673,-0.2299965044188173,-0.24846771406508458
65.0,7.0,3.9999999999999996,6.33223560726302,0.4617914391503769,3.0,-0.14243874511636662,-0.0900783628269244,-0.06590853745329767,-0.15678991818399035,-0.2943133277592271,-0.31032331159248516
66.0,7.0,3.9999999999999996,6.2378242358163645,0.3559238705233671,3.0,-0.14435490402204615,-0.09018821188108547,-0.05880933534274683,-0.14682543207674154,-0.2754846911770177,-0.3160356025714556
67.0,7.0,3.9999999999999996,6.470670332400572,0.6029129946808622,3.0,-0.16710031593784272,-0.11933494623793811,-0.06806031059497891,-0.15413121788882742,-0.2834715772289062,-0.3036700754908233
68.0,7.0,4.499999999999999,6.627031073712553,0.7197574556691368,3.0,-0.14042066572907405,-0.0883622877744929,-0.05598107424882324,-0.12746474223088072,-0.26028757012723513,-0.29685963977159235
69.0,8.0,3.9999999999999996,7.419044536956677,0.6849972450546595,3.0,-0.18428504511119642,-0.16026201516494532,-0.09111996934885057,-0.15423533509842538,-0.26154825031887086,-0.27488419497590655
70.0,8.0,4.499999999999999,6.975174861766197,0.5096443830905429,3.0,-0.14935071767084276,-0.11044600836357239,-0.07709144528658411,-0.13757857833891135,-0.23818512571371814,-0.2732691657878169
71.0,8.0,4.499999999999999,7.432641444011492,0.6917924371325519,3.0,-0.1696586337426326,-0.1303825035097716,-0.07455645617344699,-0.1424671606213753,-0.24008432076858388,-0.24674280849033206
