graph_id,maxcut,C_init,C_opt,cut_P,p,beta_1,beta_2,gamma_1,gamma_2
57.0,9.0,5.0,7.273293307595283,0.24852611885654796,2.0,-0.14811468380347853,-0.09163589129489198,-0.15425438337718955,-0.28955144742179084
58.0,9.0,5.0,7.726011836832048,0.5237916814533425,2.0,-0.17003273254607376,-0.10796284610444688,-0.16503839741358145,-0.26087777569117354
59.0,9.0,5.5,7.5654713632818265,0.3523147027696162,2.0,-0.1439410191665003,-0.07865419475571582,-0.13587094007420683,-0.2733417658701524
60.0,10.0,5.0,8.41379992970721,0.37506403785533826,2.0,-0.17185191350970644,-0.1202629351452431,-0.17289999016238267,-0.24234750408251446
61.0,10.0,5.5,8.041851601412706,0.3076155495376914,2.0,-0.16190078588604362,-0.11252397844363599,-0.1692171196897587,-0.26576190260777366
62.0,10.0,5.5,8.659304993675436,0.619166203762344,2.0,-0.17123756720875435,-0.11885833858938075,-0.16083718431369978,-0.23316024051892667
63.0,10.0,6.0,8.499107477926305,0.5104711428713251,2.0,-0.14530718049308056,-0.10547630434876776,0.8058973629744318,0.938641155283248
64.0,7.0,4.0,6.080976241165435,0.45019084355158645,2.0,-0.1316704887874238,-0.07887317279718697,-0.1935757382556536,-0.3270810539220391
65.0,8.0,4.5,6.6873343321380565,0.24757519755654392,2.0,-0.11465179590505616,-0.08102844926209271,-0.1826004267282233,-0.3387055659270928
66.0,8.0,5.0,7.123921125938147,0.4640925243005041,2.0,-0.09949265545523447,-0.07734463763196127,-0.15017707866344482,-0.380421314949368
67.0,7.0,3.5,5.849768114285065,0.2868095896671694,2.0,-0.1485631756496791,-0.08479945175710223,-0.20680440541811193,-0.33196876672652187
68.0,7.0,4.0,6.358971892471417,0.596115287031521,2.0,-0.14053841410228587,-0.07984743004621499,-0.17873396775502684,-0.2817635259636317
69.0,7.0,3.5,5.886148646200987,0.28496417598134677,2.0,-0.1376185033731534,-0.08379642528600813,-0.22001285283583422,-0.34034889916418787
70.0,7.0,4.0,6.32848788131495,0.5919879078293283,2.0,-0.11502336807910442,-0.08263161629147045,-0.2037081891128852,-0.371960811042662
71.0,7.0,4.0,6.186848782140391,0.48136684658480194,2.0,-0.13118306643159158,-0.07983755276170444,-0.18645570830080224,-0.3310017624558136
72.0,8.0,4.0,6.544217467078866,0.33257566649413944,2.0,-0.14724835382901694,-0.09344090750325004,-0.1916943178920838,-0.2863100397365042
73.0,8.0,4.5,6.715837455068356,0.20950814883477703,2.0,-0.12184280007370384,-0.0826468590358285,-0.1784320863077495,-0.330013933922568
74.0,8.0,4.5,6.833895241958425,0.3365436414602307,2.0,-0.13661881732261255,-0.08475684269364957,-0.16671833041038114,-0.27393438534220405
75.0,8.0,5.0,7.121188531730061,0.4394479394429854,2.0,-0.12381630464997427,-0.07905061578557918,-0.1566073746899985,-0.29504203262020134
76.0,7.0,4.0,6.115046673338307,0.39268737596544045,2.0,-0.14583628352162517,-0.07929499813584452,-0.1911726019176625,-0.33705751060035444
77.0,7.0,4.5,6.385393807320951,0.5496806986163083,2.0,-0.13393912661705498,-0.06573109496661876,-0.14894633197560125,-0.2956929055565937
78.0,7.0,4.0,6.304182036727815,0.5490047281981282,2.0,-0.1272183934043192,-0.08247609433234195,-0.2098929390787204,-0.3531950259144976
79.0,8.0,4.5,6.718133821192528,0.2167467616580259,2.0,-0.1246789960001777,-0.08189991400580139,-0.1742401258417421,-0.3218722536573683
80.0,8.0,4.5,6.803557536849017,0.26275209560386315,2.0,-0.11326160687503549,-0.08010904245970887,-0.1850251717018227,-0.35545202562249717
81.0,8.0,5.0,7.190459932521014,0.5058133264709606,2.0,-0.10843691377791731,-0.08178793956406838,-0.15629312846327031,-0.360703826447225
82.0,8.0,4.5,6.879398481482181,0.3758923880393244,2.0,-0.14221319644650493,-0.08778094897995098,-0.1848679673458976,-0.29658746261766256
83.0,8.0,5.0,7.066730802958165,0.4036414452143478,2.0,-0.1282914566745911,-0.0747301158593053,-0.14990485445076399,-0.2922617431161004
84.0,9.0,5.0,7.446951941948774,0.29049029556397593,2.0,-0.13478507783560817,-0.08955111116636133,-0.1672028746699103,-0.2725778866223887
85.0,9.0,5.5,7.579597382967288,0.17621696005604123,2.0,-0.11684938989848336,-0.07606750675977235,-0.1416401457623042,-0.30263224224110513
86.0,7.0,3.5,5.973457852152577,0.32138076101138746,2.0,-0.15715254707342463,-0.08874984638144151,-0.22815837269437442,-0.36604940434048705
87.0,8.0,4.0,6.599231630217103,0.3538443757162645,2.0,-0.15188484276026942,-0.09475905907491323,-0.19962434310530444,-0.30049898715778717
88.0,7.0,4.0,6.436713956968362,0.620997227019819,2.0,-0.15125910202500453,-0.08186099228603197,-0.19054421003656546,-0.313899652788483
89.0,8.0,4.5,6.875064832818291,0.3222379764220352,2.0,-0.1416785856093871,-0.08533461415410132,-0.1673661271077407,-0.2834112736495773
90.0,8.0,4.0,6.593095598378463,0.29881837209616174,2.0,-0.1622440145762976,-0.09598290714991592,-0.18733890429286604,-0.30538639215829705
91.0,8.0,4.5,6.6595272176984945,0.20502521057909784,2.0,-0.13748114644267828,-0.08161917827804503,-0.15789363583079663,-0.3031246207859923
92.0,8.0,4.5,7.091613430346475,0.4150107912999246,2.0,-0.15087792110982148,-0.08699163685138711,-0.16780659252998603,-0.2712467510521956
93.0,8.0,5.0,7.339253747363235,0.6130944508660786,2.0,-0.13879248656432674,-0.08469879984024237,-0.15028804426582723,-0.26813620902173363
94.0,7.0,4.0,6.317045878779155,0.5593145621711306,2.0,-0.12381743161667179,-0.08189479256421621,-0.19235891971053776,-0.33853099849749296
95.0,7.0,4.0,6.276822209309474,0.5351779783483412,2.0,-0.13432447405071715,-0.08200737008619127,-0.20173743388173404,-0.35327548898125644
96.0,8.0,4.5,6.744107760196417,0.2193816828326269,2.0,-0.1258889482743192,-0.08291655777568502,-0.17968665628301772,-0.3321702353029049
97.0,8.0,4.0,6.572071001583036,0.3081934797795609,2.0,-0.15733602212962194,-0.09409069747123232,-0.19552180542913444,-0.30886292539924526
98.0,8.0,4.5,6.723346492280166,0.20141824039364742,2.0,-0.1299195954985924,-0.08182554153419913,-0.16808543680926383,-0.31678558326436956
99.0,8.0,4.5,6.857672225859291,0.32263863638119217,2.0,-0.14500793248571497,-0.08500812556362596,-0.17088271478536418,-0.2917651582184708
100.0,8.0,5.0,7.157376563222865,0.45161470777530016,2.0,-0.12878307496641422,-0.07906878697889332,-0.15576091040971887,-0.29796533954402005
101.0,9.0,4.5,7.373970759061926,0.3583802335635796,2.0,-0.16621489919424878,-0.10767959333743402,-0.17534987363486607,-0.2643161386048454
102.0,9.0,5.0,7.277611845866779,0.2520618152885495,2.0,-0.13944553667506682,-0.08978156004773963,-0.15974773376643567,-0.2901024858559725
103.0,9.0,5.0,7.620637151678524,0.3905060631866326,2.0,-0.15288463420734974,-0.0961362351942389,-0.15611815199870557,-0.2524112494830674
104.0,9.0,5.5,7.697999749667851,0.2740521530984928,2.0,-0.13409714750945684,-0.08307535061049369,-0.14446988751858117,-0.2722990093229412
105.0,8.0,4.5,6.804593994315074,0.2704474263551847,2.0,-0.11981686902962438,-0.07998415137542693,-0.18158788670656464,-0.33444583079981977
106.0,8.0,5.0,7.262777568641699,0.5600394565229958,2.0,-0.10510199314359076,-0.08402976223120545,-0.1731703817786133,-0.4037911518615988
107.0,9.0,5.0,7.460523708951472,0.2878528408741829,2.0,-0.13891718854028412,-0.08837125470301538,-0.16763331597841494,-0.27360460048456553
108.0,9.0,5.5,7.675136911500902,0.20836077506319364,2.0,-0.11761774447890165,-0.07934783086836844,-0.152875214818976,-0.32013153106253067
109.0,9.0,5.0,7.70877463276775,0.44006919582297654,2.0,-0.15794791415878592,-0.10152479932868168,-0.1753699676735988,-0.26248809727215766
110.0,9.0,5.5,7.6905087595947865,0.2688649278988209,2.0,-0.13584668740383932,-0.08196263748230137,-0.15078875973983372,-0.28245925754053197
111.0,10.0,5.5,8.324908647805602,0.3483469975059474,2.0,-0.15359129366468116,-0.10575829995971175,-0.16440726228736616,-0.23736285719377404
112.0,10.0,6.0,8.227925872870665,0.2354188100369766,2.0,-0.12952016457181095,-0.08487707171448888,-0.14666068711770863,-0.27495317930042096
113.0,8.0,4.5,7.123837146795842,0.4041645455526819,2.0,-0.15507626181092635,-0.08751715038445096,-0.17297171592480304,-0.2808446486675901
114.0,8.0,5.0,7.354879278685382,0.6152735298045691,2.0,-0.14129235461302803,-0.0850844223928237,-0.14995602910507588,-0.27144367389645263
115.0,9.0,5.0,7.90044502064767,0.49745249046115847,2.0,-0.15875552269637164,-0.09663071499607882,-0.1612474262781554,-0.25172895878884693
116.0,9.0,5.5,7.947796876022904,0.3451193196359469,2.0,-0.1451661700047131,-0.0906808435039131,-0.14392173062316932,-0.26030156211366995
117.0,8.0,4.5,6.895775663813244,0.34665209452962464,2.0,-0.1469947380495263,-0.0866849919956791,-0.1804645952995132,-0.2977735094786821
118.0,8.0,5.0,7.160609958583507,0.4612081676482502,2.0,-0.12901399229752503,-0.07844314174006657,-0.16171469449297532,-0.30967135611907814
119.0,9.0,4.5,7.409482074110234,0.344319192520732,2.0,-0.17060960257648147,-0.10876407952502568,-0.18083418219419198,-0.27280878685121107
120.0,9.0,5.0,7.292714818585821,0.2430021051807296,2.0,-0.1420888070469996,-0.08978063809744907,-0.15910058173034697,-0.294242423020153
121.0,9.0,5.0,7.666295063559498,0.3906699967127545,2.0,-0.15853818792936258,-0.09843195875977195,-0.16525136554694148,-0.2606780990495122
122.0,9.0,5.5,7.714866927776091,0.2769294889234754,2.0,-0.1369934814363263,-0.08306570130228076,-0.14697696441633584,-0.2781468971580346
123.0,10.0,5.0,8.352916764793289,0.39842222607287114,2.0,-0.17342141374812017,-0.1200567090644361,-0.17331798180396416,-0.24178590447459014
124.0,10.0,5.5,8.017735709138814,0.32677229288060766,2.0,-0.15861423195042915,-0.10919051527808298,-0.16844799850905545,-0.26591354759791974
125.0,10.0,5.5,8.539044602424903,0.46825601226096947,2.0,-0.16354272404562942,-0.10975935790445186,-0.15765334022748836,-0.2321440163857774
126.0,10.0,6.0,8.37701967821812,0.3553566520610803,2.0,-0.1483575065660026,-0.09582010689834368,-0.1478449904062116,-0.2552170109521234
127.0,10.0,5.5,8.32410680153776,0.3342565508502922,2.0,-0.15611767164257562,-0.10544646618516106,-0.1645919150356573,-0.23766404189141088
128.0,10.0,6.0,8.255570814174979,0.2455972777681624,2.0,-0.1313942975142513,-0.08572346069347178,-0.1476087084511222,-0.27468766541860024
